trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
201,False,"{'a': 0.3, 'e': 0.13131347932828827}",20,16,6.665553949047611,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.3, 'e': 0.1300003445350054}",25,20,10.267100761229042,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.3, 'e': 0.12870034108965533}",20,13,-4.976291371362934,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.3, 'e': 0.1274133376787588}",30,24,9.616794864503039,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.3, 'e': 0.12613920430197118}",20,2,22.252957764407594,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.3, 'e': 0.12487781225895148}",30,24,12.694196985262696,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.3, 'e': 0.12362903413636196}",30,7,11.312281331542932,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
208,False,"{'a': 0.3, 'e': 0.12239274379499834}",30,16,26.539352529434417,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.3, 'e': 0.12116881635704835}",20,13,1.9165226411378233,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.3, 'e': 0.11995712819347787}",30,10,10.597764796331367,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
211,False,"{'a': 0.3, 'e': 0.11875755691154309}",20,10,-33.62079633359267,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
212,False,"{'a': 0.3, 'e': 0.11756998134242766}",25,2,26.08651454151837,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.3, 'e': 0.11639428152900338}",20,10,21.350160991569997,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.3, 'e': 0.11523033871371334}",20,0,19.309079704119338,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
215,False,"{'a': 0.3, 'e': 0.11407803532657622}",20,9,9.287071105859091,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.3, 'e': 0.11293725497331045}",30,8,2.0788070121753943,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
217,False,"{'a': 0.3, 'e': 0.11180788242357734}",20,6,18.318953920781986,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.3, 'e': 0.11068980359934157}",35,16,-23.409339622090755,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
219,False,"{'a': 0.3, 'e': 0.10958290556334815}",20,11,21.977407954801826,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.3, 'e': 0.10848707650771466}",30,2,32.22977786244161,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.3, 'e': 0.10740220574263752}",20,7,23.746490277310862,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.3, 'e': 0.10632818368521114}",25,13,9.043206808273963,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.3, 'e': 0.10526490184835903}",30,3,0.5002674574203974,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 0}",1
224,False,"{'a': 0.3, 'e': 0.10421225282987544}",20,0,16.85348653163565,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
225,False,"{'a': 0.3, 'e': 0.10317013030157668}",25,15,20.102104707525704,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.3, 'e': 0.10213842899856092}",25,20,7.8451701447723,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.3, 'e': 0.10111704470857531}",20,9,-23.106819473618184,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
228,False,"{'a': 0.3, 'e': 0.10010587426148955}",30,18,20.059909806138773,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.3, 'e': 0.09910481551887466}",25,16,16.32462144124019,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.3, 'e': 0.0981137673636859}",30,23,13.564188562490749,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.3, 'e': 0.09713262969004906}",20,10,17.746085070615297,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.3, 'e': 0.09616130339314856}",25,7,28.065626554586537,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
